Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Schaffhouse,Total,,1'587,359,2'653,1'066,1'608,274,2'676,1'068,1'520,260,2'690,1'170,1'436,240,2'594,1'158,1'441,290,2'595,1'154,1'389,259,2'507,1'118,1'322,257,2'365,1'043,1'309,326,2'402,1'093,1'286,221,2'328,1'042
Appenzell Rhodes-Extérieures,Etrangers,,231,66,372,141,219,48,355,136,198,37,340,142,201,40,340,139,195,35,337,142,187,33,334,147,197,40,334,137,178,41,321,143,179,48,306,127
Appenzell Rhodes-Extérieures,Suisses,,379,95,606,227,373,63,600,227,353,57,604,251,338,54,600,262,339,79,578,239,337,71,585,248,346,81,581,235,341,83,574,233,344,79,560,216
Appenzell Rhodes-Extérieures,Total,,610,161,978,368,592,111,955,363,551,94,944,393,539,94,940,401,534,114,915,381,524,104,919,395,543,121,915,372,519,124,895,376,523,127,866,343
Appenzell Rhodes-Intérieures,Etrangers,,71,9,82,11,59,3,72,13,50,5,60,10,32,2,44,12,29,6,40,11,29,6,40,11,24,4,35,11,25,7,36,11,23,4,33,10
Appenzell Rhodes-Intérieures,Suisses,,58,14,89,31,59,10,89,30,48,5,73,25,54,15,74,20,43,5,68,25,48,12,70,22,44,7,68,24,42,10,70,28,39,11,69,30
Appenzell Rhodes-Intérieures,Total,,129,23,171,42,118,13,161,43,98,10,133,35,86,17,118,32,72,11,108,36,77,18,110,33,68,11,103,35,67,17,106,39,62,15,102,40
St-Gall,Etrangers,,3'845,995,6'090,2'245,3'697,659,5'991,2'294,3'499,735,5'809,2'310,3'293,576,5'561,2'268,3'142,652,5'400,2'258,2'987,633,5'266,2'279,2'953,622,5'183,2'230,3'041,851,5'162,2'121,2'902,655,5'079,2'177
St-Gall,Suisses,,3'752,996,5'849,2'097,3'637,717,5'702,2'065,3'484,729,5'627,2'143,3'392,684,5'451,2'059,3'241,662,5'352,2'111,3'073,624,5'343,2'270,3'101,702,5'425,2'324,3'280,975,5'362,2'082,3'225,777,5'284,2'059
St-Gall,Total,,7'597,1'991,11'939,4'342,7'334,1'376,11'693,4'359,6'983,1'464,11'436,4'453,6'685,1'260,11'012,4'327,6'383,1'314,10'752,4'369,6'060,1'257,10'609,4'549,6'054,1'324,10'608,4'554,6'321,1'826,10'524,4'203,6'127,1'432,10'363,4'236
