Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Tessin,Suisses,,2.9,3'452,5'282,1'830,2.9,3'397,5'222,1'825,2.7,3'215,5'026,1'811,2.6,3'017,4'755,1'738,2.5,2'909,4'687,1'778,2.4,2'806,4'511,1'705,2.4,2'776,4'459,1'683,2.5,2'873,4'577,1'704,2.5,2'899,4'641,1'742,0,0,0,0,2.3,27'344,43'160,15'816
Vaud,Etrangers,,7.7,10'923,14'765,3'842,7.4,10'430,14'431,4'001,7,9'840,13'879,4'039,6.6,9'358,13'289,3'931,6.3,8'856,12'829,3'973,5.8,8'147,12'311,4'164,5.8,8'143,12'107,3'964,5.9,8'355,12'235,3'880,5.9,8'264,12'166,3'902,0,0,0,0,5.8,82'316,118'012,35'696
Vaud,Suisses,,3.8,9'749,13'254,3'505,3.7,9'557,13'060,3'503,3.6,9'187,12'785,3'598,3.5,8'995,12'497,3'502,3.4,8'758,12'463,3'705,3.4,8'606,12'407,3'801,3.5,8'962,12'484,3'522,3.6,9'143,12'620,3'477,3.5,8'891,12'483,3'592,0,0,0,0,3.2,81'848,114'053,32'205
Valais,Etrangers,,12.2,5'343,7'417,2'074,10.5,4'563,6'942,2'379,8.3,3'643,5'939,2'296,7.7,3'354,5'211,1'857,6.3,2'746,4'446,1'700,5.2,2'280,3'869,1'589,5,2'189,3'697,1'508,5.1,2'246,3'804,1'558,4.9,2'126,3'772,1'646,0,0,0,0,6.5,28'490,45'097,16'607
Valais,Suisses,,2.8,3'716,5'572,1'856,2.7,3'470,5'371,1'901,2.4,3'128,4'999,1'871,2.3,3'051,4'706,1'655,2.3,2'941,4'446,1'505,2.1,2'759,4'252,1'493,2.2,2'816,4'302,1'486,2.2,2'817,4'368,1'551,2.1,2'690,4'255,1'565,0,0,0,0,2.1,27'388,42'271,14'883
Neuchâtel,Etrangers,,10.7,2'840,3'574,734,10.5,2'789,3'555,766,9.8,2'591,3'355,764,9,2'393,3'170,777,8.4,2'222,3'059,837,7.6,2'011,2'840,829,7.6,2'016,2'749,733,7.5,2'003,2'715,712,7.4,1'970,2'670,700,0,0,0,0,7.9,20'835,27'687,6'852
Neuchâtel,Suisses,,4.9,3'212,4'138,926,4.9,3'225,4'116,891,4.7,3'116,4'025,909,4.6,3'021,3'908,887,4.4,2'914,3'843,929,4.2,2'761,3'772,1'011,4.3,2'836,3'756,920,4.3,2'861,3'755,894,4.2,2'768,3'680,912,0,0,0,0,4.1,26'714,34'993,8'279
Genève,Etrangers,,6.5,6'765,8'656,1'891,6.4,6'629,8'524,1'895,6.2,6'438,8'351,1'913,6,6'186,8'051,1'865,5.9,6'111,8'014,1'903,5.8,5'970,7'876,1'906,5.7,5'874,7'686,1'812,5.7,5'879,7'664,1'785,5.7,5'942,7'601,1'659,0,0,0,0,5.4,55'794,72'423,16'629
Genève,Suisses,,5,6'541,8'328,1'787,4.8,6'342,8'145,1'803,4.8,6'274,8'093,1'819,4.7,6'143,7'909,1'766,4.6,6'093,7'881,1'788,4.6,6'040,7'885,1'845,4.7,6'170,7'861,1'691,4.8,6'251,7'939,1'688,4.8,6'292,7'896,1'604,0,0,0,0,4.3,56'146,71'937,15'791
Jura,Etrangers,,11.9,666,869,203,11.5,645,854,209,10.7,598,827,229,10,561,784,223,9.5,534,763,229,9.4,528,754,226,9.5,535,755,220,9.5,534,751,217,9,505,729,224,0,0,0,0,9.1,5'106,7'086,1'980
Jura,Suisses,,4.1,1'264,1'744,480,4.1,1'270,1'763,493,3.8,1'184,1'722,538,3.7,1'157,1'677,520,3.5,1'081,1'628,547,3.4,1'052,1'665,613,3.4,1'068,1'659,591,3.8,1'177,1'680,503,3.6,1'114,1'646,532,0,0,0,0,3.3,10'367,15'184,4'817
Total,,,3.7,164'466,226'861,62'395,3.6,159'809,223'627,63'818,3.4,152'280,217'248,64'968,3.3,146'327,208'357,62'030,3.1,139'778,202'419,62'641,3,133'603,196'896,63'293,3,133'926,195'223,61'297,3,135'578,195'334,59'756,3,133'169,193'624,60'455,0,0,0,0,2.9,1'298'936,1'859'589,560'653
