Canton,Nationalité,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Thurgovie,Suisses,,1.9,2'145,3'225,1'080,2,2'188,3'294,1'106,1.8,2'072,3'244,1'172,1.8,1'980,3'130,1'150,1.7,1'938,3'088,1'150,1.6,1'827,3'044,1'217,1.6,1'768,2'909,1'141,1.7,1'887,2'940,1'053,1.7,1'921,3'032,1'111,1.7,1'862,3'008,1'146,1.6,1'795,3'037,1'242,1.6,1'814,3'067,1'253,1.7,23'197,37'018,13'821
Tessin,Etrangers,,7,3'532,5'331,1'799,6.9,3'473,5'275,1'802,5.8,2'933,4'663,1'730,5.2,2'624,4'323,1'699,4.8,2'441,4'100,1'659,4.4,2'236,3'900,1'664,4.4,2'199,3'815,1'616,4.4,2'235,3'857,1'622,4.6,2'319,3'976,1'657,5.2,2'614,4'394,1'780,5.7,2'892,4'744,1'852,6.2,3'149,4'934,1'785,5.4,32'647,53'312,20'665
Tessin,Suisses,,3.1,3'578,5'346,1'768,3,3'561,5'335,1'774,2.8,3'260,5'026,1'766,2.7,3'125,4'810,1'685,2.5,2'962,4'665,1'703,2.5,2'883,4'581,1'698,2.5,2'870,4'556,1'686,2.5,2'919,4'605,1'686,2.6,3'055,4'785,1'730,2.6,3'083,4'950,1'867,2.7,3'193,5'098,1'905,2.9,3'388,5'241,1'853,2.7,37'877,58'998,21'121
Vaud,Etrangers,,7.8,10'973,14'590,3'617,7.6,10'692,14'539,3'847,7.3,10'236,14'262,4'026,6.8,9'649,13'675,4'026,6.6,9'247,13'267,4'020,6.2,8'809,12'784,3'975,6.2,8'706,12'504,3'798,6.4,9'041,12'907,3'866,6.4,8'966,12'920,3'954,6.4,9'002,13'101,4'099,6.6,9'352,13'637,4'285,7.3,10'266,14'306,4'040,6.8,114'939,162'492,47'553
Vaud,Suisses,,3.7,9'467,12'751,3'284,3.7,9'404,12'788,3'384,3.6,9'125,12'652,3'527,3.5,8'902,12'451,3'549,3.4,8'807,12'401,3'594,3.4,8'673,12'311,3'638,3.5,9'019,12'418,3'399,3.7,9'506,12'955,3'449,3.6,9'270,12'840,3'570,3.6,9'230,12'861,3'631,3.6,9'115,12'826,3'711,3.7,9'437,13'105,3'668,3.6,109'955,152'359,42'404
Valais,Etrangers,,12.7,5'559,7'824,2'265,11.4,4'966,7'522,2'556,9.5,4'147,6'734,2'587,8.5,3'698,5'737,2'039,7.4,3'211,5'032,1'821,5.9,2'595,4'276,1'681,5.5,2'384,3'983,1'599,5.7,2'473,4'068,1'595,6,2'600,4'274,1'674,6.4,2'790,4'608,1'818,7.9,3'459,5'460,2'001,11.9,5'202,7'131,1'929,8.2,43'084,66'649,23'565
Valais,Suisses,,3.1,4'050,5'937,1'887,2.9,3'802,5'775,1'973,2.6,3'433,5'361,1'928,2.5,3'289,5'000,1'711,2.4,3'110,4'783,1'673,2.2,2'926,4'551,1'625,2.3,3'001,4'573,1'572,2.4,3'098,4'685,1'587,2.3,2'999,4'564,1'565,2.3,2'944,4'598,1'654,2.4,3'080,4'880,1'800,2.8,3'658,5'569,1'911,2.5,39'390,60'276,20'886
Neuchâtel,Etrangers,,10.1,2'674,3'424,750,10.1,2'678,3'420,742,9.6,2'539,3'342,803,9,2'376,3'203,827,8.7,2'309,3'152,843,8.3,2'207,3'080,873,8.6,2'270,3'078,808,8.6,2'295,3'096,801,8.7,2'296,3'109,813,8.6,2'278,3'140,862,9.1,2'405,3'281,876,10.4,2'754,3'497,743,9.1,29'081,38'822,9'741
Neuchâtel,Suisses,,4.5,2'980,3'895,915,4.5,2'972,3'894,922,4.3,2'827,3'809,982,4.2,2'793,3'761,968,4.2,2'798,3'802,1'004,4.3,2'799,3'830,1'031,4.5,2'945,3'937,992,4.6,3'054,4'009,955,4.6,3'035,4'042,1'007,4.6,3'011,4'050,1'039,4.6,3'001,4'080,1'079,4.7,3'086,4'108,1'022,4.5,35'301,47'217,11'916
Genève,Etrangers,,6.7,6'964,8'615,1'651,6.7,6'886,8'638,1'752,6.6,6'798,8'631,1'833,6.4,6'588,8'511,1'923,6.3,6'488,8'435,1'947,6.1,6'289,8'272,1'983,6.1,6'309,8'208,1'899,6.2,6'362,8'186,1'824,6.2,6'414,8'255,1'841,6.3,6'479,8'300,1'821,6.2,6'359,8'320,1'961,6.3,6'478,8'429,1'951,6.3,78'414,100'800,22'386
Genève,Suisses,,5.1,6'680,8'249,1'569,5,6'563,8'268,1'705,4.9,6'486,8'274,1'788,4.8,6'298,8'167,1'869,4.8,6'250,8'147,1'897,4.7,6'193,8'083,1'890,4.8,6'328,8'029,1'701,4.9,6'468,8'131,1'663,5,6'547,8'236,1'689,5,6'515,8'251,1'736,4.9,6'371,8'196,1'825,4.9,6'469,8'282,1'813,4.9,77'168,98'313,21'145
Jura,Etrangers,,11.6,652,834,182,11.5,642,837,195,11.3,633,834,201,10.5,589,803,214,10.2,573,790,217,10,559,787,228,10.1,566,793,227,10.3,579,778,199,10.2,571,772,201,10.2,572,808,236,10.4,580,849,269,11.5,642,881,239,10.6,7'158,9'766,2'608
