,Unnamed: 0,conflictid,location,sidea,side b,sidebid,incomp,terr,year,intensity,cumint,type,start_month,ependdate,region,ISO2,decolonisation_year,colonizer
1304,1304,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1982,1,1,3,8,,1,GB,1867,United Kingdom
1305,1305,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1983,1,1,3,8,,1,GB,1867,United Kingdom
1306,1306,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1984,1,1,3,8,,1,GB,1867,United Kingdom
1307,1307,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1985,1,1,3,8,,1,GB,1867,United Kingdom
1308,1308,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1986,1,1,3,8,,1,GB,1867,United Kingdom
1309,1309,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1987,1,1,3,8,,1,GB,1867,United Kingdom
1310,1310,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1988,1,1,3,8,,1,GB,1867,United Kingdom
1311,1311,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1989,1,1,3,8,,1,GB,1867,United Kingdom
1312,1312,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1990,1,1,3,8,,1,GB,1867,United Kingdom
1313,1313,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1991,1,1,3,8,1991-11-26,1,GB,1867,United Kingdom
1314,1314,315,United Kingdom,United Kingdom,RIRA,283,1,Northern Ireland,1998,1,1,3,8,1998-08-15,1,GB,1867,United Kingdom
1642,1642,342,Spain,Spain,ETA,313,1,Basque,1978,1,0,3,6,,1,ES,1821,Spain
1643,1643,342,Spain,Spain,ETA,313,1,Basque,1979,1,0,3,6,,1,ES,1821,Spain
1644,1644,342,Spain,Spain,ETA,313,1,Basque,1980,1,0,3,6,,1,ES,1821,Spain
1645,1645,342,Spain,Spain,ETA,313,1,Basque,1981,1,0,3,6,,1,ES,1821,Spain
1646,1646,342,Spain,Spain,ETA,313,1,Basque,1982,1,0,3,6,1982-12-29,1,ES,1821,Spain
1647,1647,342,Spain,Spain,ETA,313,1,Basque,1985,1,0,3,6,,1,ES,1821,Spain
1648,1648,342,Spain,Spain,ETA,313,1,Basque,1986,1,0,3,6,,1,ES,1821,Spain
1649,1649,342,Spain,Spain,ETA,313,1,Basque,1987,1,0,3,6,1987-12-31,1,ES,1821,Spain
1650,1650,342,Spain,Spain,ETA,313,1,Basque,1991,1,0,3,6,1991-12-13,1,ES,1821,Spain
1871,1871,376,Russia,Russia (Soviet Union),Republic of Armenia,330,1,Nagorno-Karabakh,1990,1,0,3,1,,1,RU,1991,Russia
1872,1872,376,Russia,Russia (Soviet Union),Republic of Armenia,330,1,Nagorno-Karabakh,1991,1,0,3,1,1991-12-21,1,RU,1991,Russia
1873,1873,377,Russia,Russia (Soviet Union),APF,331,1,Azerbaijan,1990,1,0,3,1,1990-01-27,1,AZ,1991,Russia
1988,1988,399,Russia,Russia (Soviet Union),Parliamentary Forces,351,2,Russia (Soviet Union),1993,1,0,3,9,1993-10-05,1,RU,1991,Russia
1991,1991,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,1994,1,0,3,5,,1,RU,1991,Russia
1992,1992,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,1995,2,1,3,5,,1,RU,1991,Russia
1993,1993,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,1996,2,1,3,5,1996-11-08,1,RU,1991,Russia
1994,1994,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,1999,2,1,3,5,,1,RU,1991,Russia
1995,1995,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2000,2,1,3,5,,1,RU,1991,Russia
1996,1996,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2001,1,1,3,5,,1,RU,1991,Russia
1997,1997,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2002,2,1,3,5,,1,RU,1991,Russia
1998,1998,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2003,1,1,3,5,,1,RU,1991,Russia
1999,1999,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2004,2,1,3,5,,1,RU,1991,Russia
2000,2000,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2005,1,1,3,5,,1,RU,1991,Russia
2001,2001,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2006,1,1,3,5,,1,RU,1991,Russia
2002,2002,401,Russia,Russia (Soviet Union),Chechen Republic of Ichkeria,352,1,Chechnya,2007,1,1,3,5,2007-10-06,1,RU,1991,Russia
